Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),pg/µL,Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Copies/uL linked molecules,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-
B03,3168 1_5,,,,1,63.1824264526367,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1263.64855957031,,,67.2700805664063,59.1080169677734,18800,921,17879,,,,,,,,,1630.92272949219,,,13.8368788793904,34.6806600708887,,,,,,,,,,,,7989.94559666802,551.99657491179,916.376949860593,,,,,65.2663040161133,61.1020011901855,,,,,,,,,,,,,No,0,0,0,0
B04,3168 1_5,,,,1,65.2515106201172,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1305.0302734375,,,69.4347763061523,61.082103729248,18555,938,17617,,,,,,,,,1630.92272949219,,,10.4706702473869,35.3636476948216,,,,,,,,,,,,7971.66044424744,555.08113245908,930.007103596643,,,,,67.3840866088867,63.1225357055664,,,,,,,,,,,,,No,0,0,0,0
C01,3036,,,,1,2497.1806640625,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,49943.61328125,,,2544.32470703125,2451.73999023438,17831,15382,2449,,,,,,,,,1630.92272949219,,,12.5787081719378,15.7204506428306,,,,,,,,,,,,8098.34567736501,561.013360842436,7063.13021871637,,,,,2521.01318359375,2473.79174804688,,,,,,,,,,,,,No,0,0,0,0
C02,3036,,,,1,292.966461181641,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,5859.3291015625,,,302.915069580078,283.095886230469,16234,3373,12861,,,,,,,,,1630.92272949219,,,13.2994324273541,25.447975287023,,,,,,,,,,,,9779.05197412269,731.967386264562,2611.71460289912,,,,,298.032470703125,287.920776367188,,,,,,,,,,,,,No,0,0,0,0
C03,3008 1_10,,,,1,135.993347167969,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2719.86694335938,,,142.389846801758,129.629196166992,17048,1747,15301,,,,,,,,,1630.92272949219,,,9.57595088755982,31.8140787210179,,,,,,,,,,,,7786.93777257944,549.249151025549,1290.93392471482,,,,,139.252807617188,132.742309570313,,,,,,,,,,,,,No,0,0,0,0
C04,3008 1_10,,,,1,126.533729553223,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2530.67456054688,,,133.890747070313,119.21949005127,11954,1144,10810,,,,,,,,,1630.92272949219,,,7.70983424824195,29.4033912423117,,,,,,,,,,,,7621.0561556516,561.826648302105,1237.39621132769,,,,,130.281936645508,122.796661376953,,,,,,,,,,,,,No,0,0,0,0
D01,3165,,,,1,1109.22937011719,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,22184.587890625,,,1130.76379394531,1088.05737304688,18871,11058,7813,,,,,,,,,1630.92272949219,,,9.25841223825441,22.1438017734761,,,,,,,,,,,,7641.80411152418,533.993456586747,4699.01757943652,,,,,1120.17028808594,1098.3828125,,,,,,,,,,,,,No,0,0,0,0
D02,3165,,,,1,1126.193359375,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,22523.8671875,,,1148.67932128906,1104.10229492188,17722,10483,7239,,,,,,,,,1630.92272949219,,,9.85445729243748,22.6864451701179,,,,,,,,,,,,7693.04771047656,540.546978466352,4771.42753222231,,,,,1137.61560058594,1114.87390136719,,,,,,,,,,,,,No,0,0,0,0
D03,3014 1_10,,,,1,120.764511108398,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2415.29028320313,,,126.600326538086,114.955642700195,18068,1654,16414,,,,,,,,,1630.92272949219,,,11.1066010484873,33.1249247902025,,,,,,,,,,,,7927.24147788328,557.844165503129,1232.46134253859,,,,,123.738586425781,117.797454833984,,,,,,,,,,,,,No,0,0,0,0
D04,3014 1_10,,,,1,112.213409423828,,Manual,Droplets Analyzed Manually,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,2244.26806640625,,,117.743095397949,106.70792388916,18630,1590,17040,,,,,,,,,1630.92272949219,,,12.6748156573461,32.4745390631501,,,,,,,,,,,,7973.63518527049,558.631185125073,1191.47371653845,,,,,115.031639099121,109.401481628418,,,,,,,,,,,,,No,0,0,0,0
